36  50.285175863617
36  46.338051917812
38  38.990229310934
42  33.054992405705
52  25.788285776351
68  20.417094655037
79  17.862621627529
105  14.775500131866
131  12.752867652012
162  11.15655940295
194  10.052073075984
241  9.0213565120146
277  8.308119478131
333  7.6508440580798
385  7.1253231277922
447  6.6340539576948
540  6.1782101608891
616  5.7814153994668
714  5.3930971860882
825  5.0219297123779
929  4.6963969479703
1076  4.3559783610263
1230  4.0630716804812
1388  3.8241771813868
1602  3.568561701769
1841  3.3412055758054
2137  3.1204059988517
2466  2.9147810398243
2883  2.7239003015761
3341  2.5402849760422
3865  2.373661953364
4480  2.217134341552
5142  2.0697980456495
5957  1.9296019936429
6871  1.8004635899421
7958  1.6793483077631
9227  1.5662680240757
10700  1.4596918059575
12382  1.3615175403173
14244  1.2705577097498
16335  1.187182582345
18822  1.1074741093046
21639  1.032985203996
25013  0.96246866108141
28818  0.89896999567149
33314  0.83822519161421
38278  0.78333528453044
45941  0.72454225449473
